Probe_ID	Date	Probe_Count
3088	2021-05-11	2642
3088	2021-05-12	2606
3088	2021-05-13	2617
3088	2021-05-14	1691
3088	2021-05-15	2504
3088	2021-05-16	1989
3088	2021-05-17	2707
3088	2021-05-18	2876
3088	2021-05-19	2511
3088	2021-05-20	2616
3088	2021-05-21	2572
3088	2021-05-22	2212
3088	2021-05-23	1496
3088	2021-05-24	2230
3088	2021-05-25	2281
3088	2021-05-26	2612
3088	2021-05-27	2509
3088	2021-05-28	2482
3088	2021-05-29	1623
3088	2021-05-30	1564
3088	2021-05-31	2204
3088	2021-06-01	2387
3088	2021-06-02	2648
3088	2021-06-03	2319
3088	2021-06-04	2519
3088	2021-06-05	2167
3088	2021-06-06	1313
3088	2021-06-07	557
3088	2021-06-08	2194
3088	2021-06-09	2366
3088	2021-06-10	2576
3088	2021-06-11	2320
3088	2021-06-12	1488
3088	2021-06-13	1237
3088	2021-06-14	1099
3088	2021-06-15	2096
3088	2021-06-16	2161
3088	2021-06-17	2125
3088	2021-06-18	2390
3088	2021-06-19	1554
3088	2021-06-20	1244
3088	2021-06-21	1949
3088	2021-06-22	2129
3088	2021-06-23	2161
3088	2021-06-24	2060
3088	2021-06-25	2264
3088	2021-06-26	1783
3088	2021-06-27	990
3088	2021-06-28	1907
3088	2021-06-29	2396
3088	2021-06-30	2429
3088	2021-07-01	2348
3088	2021-07-02	2130
3088	2021-07-03	1567
3088	2021-07-04	1045
3088	2021-07-05	1750
3088	2021-07-06	2019
3088	2021-07-07	2096
3088	2021-07-08	2226
3088	2021-07-09	2508
3088	2021-07-10	1785
3088	2021-07-11	1163
3088	2021-07-12	1801
3088	2021-07-13	2037
3088	2021-07-14	2101
3088	2021-07-15	2066
3088	2021-07-16	3763
3088	2021-07-17	3811
3088	2021-07-18	3522
3088	2021-07-19	3479
3088	2021-07-20	1684
3088	2021-07-21	499
3088	2021-07-22	461
3088	2021-07-23	531
3088	2021-07-24	249
3088	2021-07-25	223
3088	2021-07-26	445
3088	2021-07-27	533
3088	2021-07-28	1912
3088	2021-07-29	2227
3088	2021-07-30	2495
3088	2021-07-31	1693
3088	2021-08-01	1574
3088	2021-08-02	2096
3088	2021-08-03	2534
3088	2021-08-04	2527
3088	2021-08-05	2531
3088	2021-08-06	2574
3088	2021-08-07	2060
3088	2021-08-08	1550
3088	2021-08-09	2237
3088	2021-08-10	3235
3088	2021-08-11	2612
3088	2021-08-12	2984
3088	2021-08-13	2829
3088	2021-08-14	2058
3088	2021-08-15	1750
3088	2021-08-16	2178
3088	2021-08-17	2678
3088	2021-08-18	5740
3088	2021-08-19	2774
3088	2021-08-20	3026
3088	2021-08-21	2144
3088	2021-08-22	1454
3088	2021-08-23	2076
3088	2021-08-24	2504
3088	2021-08-25	2535
3088	2021-08-26	2478
3088	2021-08-27	2864
3088	2021-08-28	1606
3088	2021-08-29	1134
3088	2021-08-30	2184
3088	2021-08-31	2517
3088	2021-09-01	2596
3088	2021-09-02	2611
3088	2021-09-03	2352
3088	2021-09-04	1466
3088	2021-09-05	1127
3088	2021-09-06	1986
3088	2021-09-07	2414
3088	2021-09-08	2587
3088	2021-09-09	2703
3088	2021-09-10	2643
3088	2021-09-11	1781
3088	2021-09-12	1151
3088	2021-09-13	2404
3088	2021-09-14	2397
3088	2021-09-15	2721
3088	2021-09-16	2687
3088	2021-09-17	2775
3088	2021-09-18	1618
3088	2021-09-19	1146
3088	2021-09-20	2031
3088	2021-09-21	2343
3088	2021-09-22	2390
3088	2021-09-23	2426
3088	2021-09-24	2536
3088	2021-09-25	1250
3088	2021-09-26	1443
3088	2021-09-27	1798
3088	2021-09-28	2012
3088	2021-09-29	2089
3088	2021-09-30	2104
3088	2021-10-01	2103
3088	2021-10-02	1441
3088	2021-10-03	1391
